Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,16453.630859,16795.980469,15503.009766,16516.500000,16516.500000,2491810000
2016-03-01,16545.669922,17790.109375,16545.669922,17685.089844,17685.089844,2407750000
2016-04-01,17661.740234,18167.630859,17484.230469,17773.640625,17773.640625,2096650000
2016-05-01,17783.779297,17934.609375,17331.070313,17787.199219,17787.199219,1879010000
2016-06-01,17754.550781,18016.000000,17063.080078,17929.990234,17929.990234,2350020000
2016-07-01,17924.240234,18622.009766,17713.449219,18432.240234,18432.240234,1816520000
2016-08-01,18434.500000,18722.609375,18247.789063,18400.880859,18400.880859,1695750000
2016-09-01,18396.570313,18551.539063,17992.210938,18308.150391,18308.150391,2101120000
2016-10-01,18279.599609,18399.960938,17959.949219,18142.419922,18142.419922,1793690000
2016-11-01,18158.240234,19225.289063,17883.560547,19123.580078,19123.580078,2107770000
2016-12-01,19149.199219,19987.630859,19138.789063,19762.599609,19762.599609,5952470000
2017-01-01,19872.859375,20125.580078,19677.939453,19864.089844,19864.089844,6482900000
2017-02-01,19923.810547,20851.330078,19831.089844,20812.240234,20812.240234,6185580000
2017-03-01,20957.289063,21169.109375,20412.800781,20663.220703,20663.220703,6941970000
2017-04-01,20665.169922,21070.900391,20379.550781,20940.509766,20940.509766,5392630000
2017-05-01,20962.730469,21112.320313,20553.449219,21008.650391,21008.650391,6613570000
2017-06-01,21030.550781,21535.029297,20994.220703,21349.630859,21349.630859,7214590000
2017-07-01,21392.300781,21929.800781,21279.300781,21891.119141,21891.119141,5569720000
2017-08-01,21961.419922,22179.109375,21600.339844,21948.099609,21948.099609,6150060000
2017-09-01,21981.769531,22419.509766,21709.630859,22405.089844,22405.089844,6342130000
2017-10-01,22423.470703,23485.250000,22416.000000,23377.240234,23377.240234,7302910000
2017-11-01,23442.900391,24327.820313,23242.750000,24272.349609,24272.349609,7335640000
2017-12-01,24305.400391,24876.070313,23921.900391,24719.220703,24719.220703,6589890000
2018-01-01,24809.349609,26616.710938,24741.699219,26149.390625,26149.390625,9116920000
2018-02-01,26083.039063,26306.699219,23360.289063,25029.199219,25029.199219,9450250000
2018-03-01,25024.039063,25449.150391,23509.060547,24103.109375,24103.109375,8873040000
2018-04-01,24076.599609,24858.970703,23344.519531,24163.150391,24163.150391,8064550000
2018-05-01,24117.289063,25086.490234,23531.310547,24415.839844,24415.839844,7278020000
2018-06-01,24542.089844,25402.830078,23997.210938,24271.410156,24271.410156,7411110000
2018-07-01,24161.529297,25587.240234,24077.560547,25415.189453,25415.189453,5408500000
2018-08-01,25461.630859,26167.939453,24965.769531,25964.820313,25964.820313,5635410000
2018-09-01,25916.070313,26769.160156,25754.320313,26458.310547,26458.310547,5262500000
2018-10-01,26598.359375,26951.810547,24122.230469,25115.759766,25115.759766,8373350000
2018-11-01,25142.080078,26277.820313,24268.740234,25538.460938,25538.460938,7226940000
2018-12-01,25779.570313,25980.210938,21712.529297,23327.460938,23327.460938,8101540000
2019-01-01,23058.609375,25109.619141,22638.410156,24999.669922,24999.669922,7189200000
2019-02-01,25025.310547,26241.419922,24883.039063,25916.000000,25916.000000,5434540000
2019-03-01,26019.669922,26155.980469,25208.000000,25928.679688,25928.679688,6734060000
2019-04-01,26075.099609,26695.960938,26062.589844,26592.910156,26592.910156,5854600000
2019-05-01,26639.060547,26689.390625,24809.509766,24815.039063,24815.039063,6358230000
2019-06-01,24830.160156,26907.369141,24680.570313,26599.960938,26599.960938,5544390000
2019-07-01,26805.859375,27398.679688,26616.210938,26864.269531,26864.269531,5207470000
2019-08-01,26879.859375,27175.589844,25339.599609,26403.279297,26403.279297,8170730000
2019-09-01,26198.259766,27306.730469,25978.220703,26916.830078,26916.830078,5045520000
2019-10-01,26962.539063,27204.359375,25743.460938,27046.230469,27046.230469,5658040000
2019-11-01,27142.949219,28174.970703,27142.949219,28051.410156,28051.410156,4925180000
2019-12-01,28109.740234,28701.660156,27325.130859,28538.439453,28538.439453,5086880000
2020-01-01,28638.970703,29373.619141,28169.529297,28256.029297,28256.029297,6170770000
2020-02-01,28319.650391,29568.570313,24681.009766,25409.359375,25409.359375,6991990000
2020-03-01,25590.509766,27102.339844,18213.650391,21917.160156,21917.160156,15521140000
2020-04-01,21227.380859,24264.210938,20735.019531,23775.269531,23775.269531,8072390000
2020-04-24,23628.240234,23826.000000,23417.679688,23775.269531,23775.269531,379306822
